# Frequency (eV) 	 Current Real 	 Imaginary
0	-0.00357204	0
0.000367493	-0.00357197	-0.000307307
0.000734986	-0.00357174	-0.000614613
0.00110248	-0.00357137	-0.000921918
0.00146997	-0.00357085	-0.00122922
0.00183747	-0.00357018	-0.00153652
0.00220496	-0.00356936	-0.00184382
0.00257245	-0.00356839	-0.00215112
0.00293995	-0.00356728	-0.00245841
0.00330744	-0.00356601	-0.0027657
0.00367493	-0.0035646	-0.00307298
0.00404243	-0.00356304	-0.00338026
0.00440992	-0.00356133	-0.00368753
0.00477741	-0.00355948	-0.00399479
0.00514491	-0.00355747	-0.00430205
0.0055124	-0.00355532	-0.0046093
0.00587989	-0.00355302	-0.00491654
0.00624738	-0.00355058	-0.00522378
0.00661488	-0.00354799	-0.005531
0.00698237	-0.00354525	-0.00583822
0.00734986	-0.00354237	-0.00614542
0.00771736	-0.00353934	-0.00645262
0.00808485	-0.00353616	-0.0067598
0.00845234	-0.00353284	-0.00706697
0.00881984	-0.00352938	-0.00737413
0.00918733	-0.00352577	-0.00768128
0.00955482	-0.00352202	-0.00798841
0.00992232	-0.00351812	-0.00829554
0.0102898	-0.00351409	-0.00860264
0.0106573	-0.0035099	-0.00890974
0.0110248	-0.00350558	-0.00921681
0.0113923	-0.00350112	-0.00952388
0.0117598	-0.00349651	-0.00983093
0.0121273	-0.00349177	-0.010138
0.0124948	-0.00348688	-0.010445
0.0128623	-0.00348185	-0.010752
0.0132298	-0.00347669	-0.011059
0.0135972	-0.00347139	-0.0113659
0.0139647	-0.00346595	-0.0116729
0.0143322	-0.00346037	-0.0119798
0.0146997	-0.00345465	-0.0122867
0.0150672	-0.0034488	-0.0125936
0.0154347	-0.00344282	-0.0129005
0.0158022	-0.0034367	-0.0132073
0.0161697	-0.00343044	-0.0135141
0.0165372	-0.00342405	-0.013821
0.0169047	-0.00341753	-0.0141277
0.0172722	-0.00341088	-0.0144345
0.0176397	-0.00340409	-0.0147413
0.0180072	-0.00339718	-0.015048
0.0183747	-0.00339013	-0.0153547
0.0187422	-0.00338296	-0.0156614
0.0191096	-0.00337566	-0.015968
0.0194771	-0.00336823	-0.0162747
0.0198446	-0.00336067	-0.0165813
0.0202121	-0.00335299	-0.0168879
0.0205796	-0.00334518	-0.0171945
0.0209471	-0.00333725	-0.017501
0.0213146	-0.00332919	-0.0178075
0.0216821	-0.00332101	-0.018114
0.0220496	-0.00331271	-0.0184205
0.0224171	-0.00330429	-0.018727
0.0227846	-0.00329575	-0.0190334
0.0231521	-0.00328709	-0.0193398
0.0235196	-0.00327831	-0.0196462
0.0238871	-0.00326942	-0.0199525
0.0242546	-0.0032604	-0.0202589
0.024622	-0.00325128	-0.0205652
