# Frequency (eV) 	 Current Real 	 Imaginary
0	-0.0279554	0
0.000367493	-0.0278619	-0.00253557
0.000734986	-0.0275801	-0.00506708
0.00110248	-0.0271063	-0.00758966
0.00146997	-0.0264344	-0.0100968
0.00183747	-0.0255568	-0.0125799
0.00220496	-0.0244645	-0.0150271
0.00257245	-0.0231483	-0.0174234
0.00293995	-0.0215993	-0.0197501
0.00330744	-0.0198099	-0.0219847
0.00367493	-0.0177747	-0.024101
0.00404243	-0.0154918	-0.0260692
0.00440992	-0.012963	-0.0278567
0.00477741	-0.0101953	-0.0294283
0.00514491	-0.0072013	-0.0307476
0.0055124	-0.00399966	-0.0317773
0.00587989	-0.000615678	-0.0324809
0.00624738	0.00291862	-0.0328237
0.00661488	0.00656454	-0.0327738
0.00698237	0.010277	-0.0323037
0.00734986	0.0140049	-0.0313914
0.00771736	0.0176921	-0.0300215
0.00808485	0.0212783	-0.0281865
0.00845234	0.0247	-0.0258872
0.00881984	0.0278921	-0.0231343
0.00918733	0.0307891	-0.0199477
0.00955482	0.0333272	-0.0163578
0.00992232	0.0354452	-0.0124051
0.0102898	0.0370867	-0.00813965
0.0106573	0.0382016	-0.00362094
0.0110248	0.0387475	0.00108323
0.0113923	0.0386913	0.00589777
0.0117598	0.0380105	0.0107416
0.0121273	0.036694	0.0155294
0.0124948	0.0347432	0.020173
0.0128623	0.0321721	0.0245836
0.0132298	0.0290082	0.0286736
0.0135972	0.0252917	0.0323587
0.0139647	0.0210754	0.0355596
0.0143322	0.0164243	0.0382046
0.0146997	0.011414	0.0402308
0.0150672	0.00612949	0.041586
0.0154347	0.000663907	0.0422302
0.0158022	-0.00488366	0.0421371
0.0161697	-0.0104101	0.0412945
0.0165372	-0.0158102	0.0397052
0.0169047	-0.0209795	0.0373875
0.0172722	-0.0258158	0.0343746
0.0176397	-0.0302222	0.0307149
0.0180072	-0.0341088	0.0264703
0.0183747	-0.0373949	0.0217161
0.0187422	-0.0400109	0.0165388
0.0191096	-0.0419003	0.0110348
0.0194771	-0.0430207	0.0053083
0.0198446	-0.0433447	-0.000530893
0.0202121	-0.0428615	-0.00636956
0.0205796	-0.0415765	-0.0120936
0.0209471	-0.0395116	-0.0175903
0.0213146	-0.036705	-0.0227512
0.0216821	-0.0332102	-0.0274739
0.0220496	-0.0290953	-0.0316646
0.0224171	-0.0244413	-0.0352403
0.0227846	-0.0193405	-0.0381304
0.0231521	-0.0138946	-0.0402783
0.0235196	-0.00821245	-0.0416426
0.0238871	-0.00240791	-0.0421983
0.0242546	0.00340283	-0.0419369
0.024622	0.00910362	-0.040867
0.0249895	0.0145809	-0.0390138
0.025357	0.0197259	-0.0364186
0.0257245	0.0244374	-0.0331381
0.026092	0.0286236	-0.0292427
0.0264595	0.0322038	-0.0248153
0.026827	0.0351106	-0.0199495
0.0271945	0.0372909	-0.0147471
0.027562	0.0387071	-0.00931629
0.0279295	0.0393377	-0.0037693
0.028297	0.0391779	0.00178031
0.0286645	0.038239	0.00721987
0.029032	0.0365488	0.0124401
0.0293995	0.0341501	0.0173373
0.029767	0.0311003	0.0218157
0.0301344	0.0274695	0.0257891
0.0305019	0.0233392	0.029183
0.0308694	0.0188003	0.0319358
0.0312369	0.013951	0.034
0.0316044	0.00889484	0.035343
0.0319719	0.00373822	0.0359477
0.0323394	-0.00141182	0.0358127
0.0327069	-0.0064499	0.034952
0.0330744	-0.0112745	0.0333945
0.0334419	-0.0157901	0.0311833
0.0338094	-0.019909	0.0283742
0.0341769	-0.0235533	0.0250349
0.0345444	-0.0266562	0.0212429
0.0349119	-0.0291632	0.017084
0.0352793	-0.0310333	0.0126501
0.0356468	-0.0322393	0.0080373
0.0360143	-0.0327686	0.00334376
0.0363818	-0.0326227	-0.00133241
0.0367493	-0.0318173	-0.00589523
0.0371168	-0.0303815	-0.0102529
0.0374843	-0.0283571	-0.0143194
0.0378518	-0.0257973	-0.0180168
0.0382193	-0.0227656	-0.021276
0.0385868	-0.0193339	-0.0240386
0.0389543	-0.0155812	-0.0262576
0.0393218	-0.0115917	-0.0278984
0.0396893	-0.00745263	-0.028939
0.0400568	-0.00325267	-0.0293706
0.0404243	0.000920039	-0.029197
0.0407917	0.00497978	-0.0284348
0.0411592	0.00884499	-0.0271126
0.0415267	0.0124399	-0.0252697
0.0418942	0.015696	-0.0229558
0.0422617	0.0185533	-0.0202292
0.0426292	0.0209616	-0.0171555
0.0429967	0.0228809	-0.0138063
0.0433642	0.0242825	-0.0102571
0.0437317	0.025149	-0.00658607
0.0440992	0.0254748	-0.00287215
0.0444667	0.0252654	0.000806664
0.0448342	0.0245375	0.00437485
0.0452017	0.0233183	0.00776093
0.0455692	0.0216445	0.0108989
0.0459367	0.0195615	0.0137294
0.0463041	0.0171222	0.0162008
0.0466716	0.0143856	0.0182705
0.0470391	0.0114156	0.0199049
0.0474066	0.00827936	0.0210805
0.0477741	0.00504611	0.0217838
0.0481416	0.00178528	0.0220117
0.0485091	-0.00143476	0.0217707
0.0488766	-0.00454812	0.0210774
0.0492441	-0.00749273	0.0199571
0.0496116	-0.0102116	0.0184436
0.0499791	-0.0126537	0.0165778
0.0503466	-0.0147752	0.0144073
0.0507141	-0.01654	0.0119847
0.0510816	-0.0179202	0.00936658
0.0514491	-0.0188969	0.00661218
0.0518165	-0.0194598	0.00378215
0.052184	-0.0196076	0.000937205
0.0525515	-0.0193477	-0.00186317
0.052919	-0.018696	-0.0045619
0.0532865	-0.0176759	-0.00710548
0.053654	-0.016318	-0.00944501
0.0540215	-0.0146593	-0.0115371
0.054389	-0.0127419	-0.0133445
0.0547565	-0.0106126	-0.0148371
0.055124	-0.00832103	-0.0159919
0.0554915	-0.00591915	-0.0167938
0.055859	-0.00345985	-0.0172352
0.0562265	-0.000995846	-0.0173164
0.056594	0.00142141	-0.0170451
0.0569614	0.00374278	-0.0164363
0.0573289	0.00592242	-0.0155116
0.0576964	0.00791863	-0.0142985
0.0580639	0.00969465	-0.0128302
0.0584314	0.0112193	-0.0111438
0.0587989	0.0124674	-0.00928051
0.0591664	0.0134203	-0.00728382
0.0595339	0.014066	-0.00519899
0.0599014	0.0143992	-0.00307188
0.0602689	0.0144213	-0.000948046
0.0606364	0.0141403	0.00112827
0.0610039	0.01357	0.003115
0.0613714	0.0127301	0.00497305
0.0617389	0.0116455	0.00666709
0.0621064	0.0103453	0.00816617
0.0624738	0.0088625	0.00944424
0.0628413	0.00723294	0.0104806
0.0632088	0.00549459	0.0112601
0.0635763	0.00368665	0.0117734
0.0639438	0.0018487	0.0120171
0.0643113	1.9885e-05	0.0119933
0.0646788	-0.00176193	0.0117098
0.0650463	-0.00346088	0.0111795
0.0654138	-0.00504385	0.0104203
