# Frequency (eV) 	 Current Real 	 Imaginary
0	-3.24838e-05	0
0.000367493	-3.24836e-05	-2.88555e-06
0.000734986	-3.24832e-05	-5.7711e-06
0.00110248	-3.24826e-05	-8.65665e-06
0.00146997	-3.24817e-05	-1.15422e-05
0.00183747	-3.24805e-05	-1.44278e-05
0.00220496	-3.24791e-05	-1.73134e-05
0.00257245	-3.24774e-05	-2.01991e-05
0.00293995	-3.24755e-05	-2.30847e-05
0.00330744	-3.24733e-05	-2.59704e-05
0.00367493	-3.24708e-05	-2.88561e-05
0.00404243	-3.24681e-05	-3.17419e-05
0.00440992	-3.24652e-05	-3.46277e-05
0.00477741	-3.2462e-05	-3.75136e-05
0.00514491	-3.24586e-05	-4.03995e-05
0.0055124	-3.24549e-05	-4.32855e-05
0.00587989	-3.24509e-05	-4.61716e-05
0.00624738	-3.24468e-05	-4.90577e-05
0.00661488	-3.24423e-05	-5.19439e-05
0.00698237	-3.24377e-05	-5.48302e-05
0.00734986	-3.24328e-05	-5.77165e-05
0.00771736	-3.24277e-05	-6.0603e-05
0.00808485	-3.24223e-05	-6.34895e-05
0.00845234	-3.24168e-05	-6.63762e-05
0.00881984	-3.2411e-05	-6.92629e-05
0.00918733	-3.2405e-05	-7.21498e-05
0.00955482	-3.23987e-05	-7.50367e-05
0.00992232	-3.23923e-05	-7.79238e-05
0.0102898	-3.23856e-05	-8.0811e-05
0.0106573	-3.23788e-05	-8.36984e-05
0.0110248	-3.23717e-05	-8.65859e-05
0.0113923	-3.23644e-05	-8.94735e-05
0.0117598	-3.2357e-05	-9.23613e-05
0.0121273	-3.23493e-05	-9.52493e-05
0.0124948	-3.23415e-05	-9.81374e-05
0.0128623	-3.23335e-05	-0.000101026
0.0132298	-3.23253e-05	-0.000103914
0.0135972	-3.23169e-05	-0.000106803
0.0139647	-3.23084e-05	-0.000109692
0.0143322	-3.22996e-05	-0.000112581
0.0146997	-3.22908e-05	-0.00011547
0.0150672	-3.22817e-05	-0.000118359
0.0154347	-3.22725e-05	-0.000121249
0.0158022	-3.22632e-05	-0.000124139
0.0161697	-3.22537e-05	-0.000127029
0.0165372	-3.22441e-05	-0.00012992
0.0169047	-3.22343e-05	-0.00013281
0.0172722	-3.22244e-05	-0.000135701
0.0176397	-3.22144e-05	-0.000138592
0.0180072	-3.22043e-05	-0.000141484
0.0183747	-3.2194e-05	-0.000144376
0.0187422	-3.21836e-05	-0.000147268
0.0191096	-3.21732e-05	-0.00015016
0.0194771	-3.21626e-05	-0.000153053
0.0198446	-3.21519e-05	-0.000155946
0.0202121	-3.21411e-05	-0.000158839
0.0205796	-3.21302e-05	-0.000161733
0.0209471	-3.21193e-05	-0.000164627
0.0213146	-3.21082e-05	-0.000167522
0.0216821	-3.20971e-05	-0.000170416
0.0220496	-3.20859e-05	-0.000173312
0.0224171	-3.20746e-05	-0.000176207
0.0227846	-3.20633e-05	-0.000179103
0.0231521	-3.20519e-05	-0.000182
0.0235196	-3.20404e-05	-0.000184897
0.0238871	-3.20289e-05	-0.000187794
0.0242546	-3.20174e-05	-0.000190692
0.024622	-3.20057e-05	-0.000193591
0.0249895	-3.19941e-05	-0.000196489
0.025357	-3.19824e-05	-0.000199389
0.0257245	-3.19707e-05	-0.000202289
0.026092	-3.19589e-05	-0.000205189
0.0264595	-3.19471e-05	-0.00020809
0.026827	-3.19353e-05	-0.000210991
0.0271945	-3.19235e-05	-0.000213893
0.027562	-3.19116e-05	-0.000216796
0.0279295	-3.18998e-05	-0.000219699
0.028297	-3.18879e-05	-0.000222603
0.0286645	-3.1876e-05	-0.000225508
0.029032	-3.1864e-05	-0.000228413
0.0293995	-3.18521e-05	-0.000231318
0.029767	-3.18402e-05	-0.000234225
0.0301344	-3.18282e-05	-0.000237132
0.0305019	-3.18163e-05	-0.00024004
0.0308694	-3.18043e-05	-0.000242948
0.0312369	-3.17924e-05	-0.000245857
0.0316044	-3.17804e-05	-0.000248767
0.0319719	-3.17685e-05	-0.000251678
0.0323394	-3.17565e-05	-0.00025459
0.0327069	-3.17446e-05	-0.000257502
0.0330744	-3.17327e-05	-0.000260415
0.0334419	-3.17207e-05	-0.000263329
0.0338094	-3.17088e-05	-0.000266244
0.0341769	-3.16968e-05	-0.000269159
0.0345444	-3.16849e-05	-0.000272076
0.0349119	-3.16729e-05	-0.000274993
0.0352793	-3.1661e-05	-0.000277912
0.0356468	-3.1649e-05	-0.000280831
0.0360143	-3.16371e-05	-0.000283751
0.0363818	-3.16251e-05	-0.000286672
0.0367493	-3.16132e-05	-0.000289594
0.0371168	-3.16012e-05	-0.000292517
0.0374843	-3.15892e-05	-0.000295441
0.0378518	-3.15772e-05	-0.000298366
0.0382193	-3.15651e-05	-0.000301292
0.0385868	-3.15531e-05	-0.000304219
0.0389543	-3.1541e-05	-0.000307148
0.0393218	-3.15289e-05	-0.000310077
0.0396893	-3.15167e-05	-0.000313007
0.0400568	-3.15046e-05	-0.000315939
0.0404243	-3.14923e-05	-0.000318871
0.0407917	-3.14801e-05	-0.000321805
0.0411592	-3.14677e-05	-0.00032474
0.0415267	-3.14554e-05	-0.000327676
0.0418942	-3.14429e-05	-0.000330614
0.0422617	-3.14304e-05	-0.000333552
0.0426292	-3.14178e-05	-0.000336492
0.0429967	-3.14051e-05	-0.000339433
0.0433642	-3.13924e-05	-0.000342376
0.0437317	-3.13795e-05	-0.000345319
0.0440992	-3.13666e-05	-0.000348264
0.0444667	-3.13535e-05	-0.00035121
0.0448342	-3.13403e-05	-0.000354158
0.0452017	-3.1327e-05	-0.000357107
0.0455692	-3.13136e-05	-0.000360057
0.0459367	-3.13e-05	-0.000363009
0.0463041	-3.12862e-05	-0.000365962
0.0466716	-3.12723e-05	-0.000368917
0.0470391	-3.12583e-05	-0.000371873
0.0474066	-3.1244e-05	-0.00037483
0.0477741	-3.12296e-05	-0.000377789
0.0481416	-3.1215e-05	-0.000380749
0.0485091	-3.12001e-05	-0.000383711
0.0488766	-3.11851e-05	-0.000386674
0.0492441	-3.11698e-05	-0.000389639
0.0496116	-3.11543e-05	-0.000392605
0.0499791	-3.11385e-05	-0.000395573
0.0503466	-3.11225e-05	-0.000398543
0.0507141	-3.11062e-05	-0.000401514
0.0510816	-3.10896e-05	-0.000404487
0.0514491	-3.10727e-05	-0.000407461
0.0518165	-3.10555e-05	-0.000410437
0.052184	-3.10379e-05	-0.000413415
0.0525515	-3.10201e-05	-0.000416394
0.052919	-3.10019e-05	-0.000419375
0.0532865	-3.09833e-05	-0.000422357
0.053654	-3.09644e-05	-0.000425341
0.0540215	-3.0945e-05	-0.000428327
0.054389	-3.09253e-05	-0.000431315
0.0547565	-3.09051e-05	-0.000434304
0.055124	-3.08846e-05	-0.000437296
0.0554915	-3.08635e-05	-0.000440288
0.055859	-3.08421e-05	-0.000443283
0.0562265	-3.08201e-05	-0.000446279
0.056594	-3.07977e-05	-0.000449278
0.0569614	-3.07747e-05	-0.000452278
0.0573289	-3.07513e-05	-0.000455279
0.0576964	-3.07273e-05	-0.000458283
0.0580639	-3.07028e-05	-0.000461288
0.0584314	-3.06777e-05	-0.000464295
0.0587989	-3.0652e-05	-0.000467305
0.0591664	-3.06258e-05	-0.000470315
0.0595339	-3.05989e-05	-0.000473328
0.0599014	-3.05714e-05	-0.000476343
0.0602689	-3.05433e-05	-0.000479359
0.0606364	-3.05145e-05	-0.000482378
0.0610039	-3.0485e-05	-0.000485398
0.0613714	-3.04549e-05	-0.00048842
0.0617389	-3.0424e-05	-0.000491444
0.0621064	-3.03925e-05	-0.00049447
0.0624738	-3.03602e-05	-0.000497498
0.0628413	-3.03271e-05	-0.000500528
0.0632088	-3.02933e-05	-0.000503559
0.0635763	-3.02587e-05	-0.000506593
0.0639438	-3.02233e-05	-0.000509629
0.0643113	-3.01871e-05	-0.000512666
0.0646788	-3.015e-05	-0.000515706
0.0650463	-3.01121e-05	-0.000518747
0.0654138	-3.00733e-05	-0.00052179
0.0657813	-3.00337e-05	-0.000524836
0.0661488	-2.99932e-05	-0.000527883
0.0665163	-2.99517e-05	-0.000530932
0.0668838	-2.99093e-05	-0.000533983
0.0672513	-2.9866e-05	-0.000537036
0.0676188	-2.98217e-05	-0.000540091
0.0679862	-2.97764e-05	-0.000543148
0.0683537	-2.97302e-05	-0.000546207
0.0687212	-2.96829e-05	-0.000549268
0.0690887	-2.96346e-05	-0.000552331
0.0694562	-2.95853e-05	-0.000555396
0.0698237	-2.95349e-05	-0.000558463
0.0701912	-2.94834e-05	-0.000561531
0.0705587	-2.94309e-05	-0.000564602
0.0709262	-2.93772e-05	-0.000567675
0.0712937	-2.93225e-05	-0.000570749
0.0716612	-2.92666e-05	-0.000573826
0.0720287	-2.92096e-05	-0.000576904
0.0723962	-2.91514e-05	-0.000579985
0.0727637	-2.9092e-05	-0.000583067
0.0731312	-2.90314e-05	-0.000586152
0.0734986	-2.89697e-05	-0.000589238
0.0738661	-2.89067e-05	-0.000592326
0.0742336	-2.88425e-05	-0.000595416
0.0746011	-2.87771e-05	-0.000598508
0.0749686	-2.87104e-05	-0.000601602
0.0753361	-2.86425e-05	-0.000604698
0.0757036	-2.85732e-05	-0.000607796
0.0760711	-2.85027e-05	-0.000610896
0.0764386	-2.84309e-05	-0.000613997
0.0768061	-2.83578e-05	-0.000617101
0.0771736	-2.82833e-05	-0.000620206
0.0775411	-2.82075e-05	-0.000623313
0.0779086	-2.81303e-05	-0.000626422
0.0782761	-2.80518e-05	-0.000629533
0.0786435	-2.79719e-05	-0.000632646
